,userId,comment,rating,dateAdded
0,5682,,160,2020-07-04T23:31:14+02:00
1,5591,"Rothaus Tannenzäpfle ist definitiv ein hingucker. Das Etikett ist schön designt und auch das goldene Papier um den Hals sticht hervor. In das Glas geschenkt, hat es eine schöne Schaumkrone. Der Geruch ist erstaunlich intensiv. Strohig, grasig und leichte frucht-nuancen sind vertreten. Im Antrunk merkt man direkt, dass es sich hier um ein spritziges, vollmundiges Bier handelt, welches ein erstaunlich weiches Wasser hat. Das Bier hat eine schöne, angenehme süße und gleichzeitig eine kräftige herbe, welche perfekt ausbalanciert ist. Im Hintergrund bahnen sich leichte Fruchtnoten an, welche allerdings nicht besonders hervorstechen. Ein sehr gutes Bier!",180,2020-06-09T15:56:47+02:00
2,5633,,40,2020-06-06T20:48:35+02:00
3,5545,,160,2020-05-08T16:22:07+02:00
4,5538,,140,2020-05-03T03:34:18+02:00
5,5411,,140,2020-04-14T23:06:05+02:00
6,5455,"Das Zäpfle Pils ist für mich in Sachen Piils eine Institution! Schon seit vielen Jahren schmeckt mir dieses Pils ob aus der Flasche, aus der Flasche im Glas oder vom Faß. Vom Faß natürlich ganz besonders.
Das Design der Flasche ist besonders und immernoch sehr schön und zeitlos. 
Eingeschenkt in ein Pilsglas sieht es schon spritzig und erfrischend aus und bildet einen schönen Schaum. Der Geruch ist für ein PIls sehr angenehm und erstaunlich bierig. 
Schön gekühlt sieht es nicht nur erfrischend aus sondern schmeckt auch erfrischend und durstlöschend. 
Von dem kann man je nach Geselligkeit und Durst mehr trinken, ohne einen Kater erwarten zu müssen.
Hochfein abgestimmt mit schöner Bitternote und guten Hopfengeschmack. Die Würzigkeit ist nicht im Vordergrund.
Anders als für meine Vorredner, ist es zwar ein Massenprodukt, aber es ist trotzdem Genuss für den trinkenden und durchaus in der Lage den Durst über viele hinweg zu stillen. Irgendwann kann dann etwas Bitterkeit vordergründig sein, aber zum Essen oder gemütlich trinken kann man dieses Bier sehr wohl des öfteren genießen.",160,2020-03-23T19:47:29+01:00
7,5447,"Ein Rothaus-Pils geht immer! Ein gutes, frisches Pils - besonders süffig an heißen Tagen!",160,2020-03-17T22:05:59+01:00
8,5441,Enes der besten Biere !,200,2020-03-11T13:22:18+01:00
9,5407,,140,2020-02-14T19:37:05+01:00
