Fri Sep 30 17:48:44 +0000 2016,Prost! #kölsch #bier #beer #cheers #gildenbier @Gilden Brauhaus https://www.instagram.com/p/BK_TCihDG_C/
Fri Sep 30 11:56:48 +0000 2016,Zwiebelkuchen und bier. Great! - Drinking a Kellerbier by Distelhuser Brauerei @Sternbäck — http://untp.beer/s/c365896117
Thu Sep 29 11:29:37 +0000 2016,Erstmal ein #Grüner #Bier im #ALEX in #Fürth genießen @ALEX https://www.instagram.com/p/BK8C2-8gRBJ/
Thu Sep 29 07:16:29 +0000 2016,#Schiller der alte Haudegen! @Schillerhöhe Marbach Am Neckar https://www.instagram.com/p/BK7l42HjwGwb0Hi9UMpl2wGcommLTQaiY53iBk0/
Thu Sep 29 06:43:27 +0000 2016,Ich habe mein Lenkrad fotografiert. Bin ich jetzt im Kreis der… https://www.instagram.com/p/BK7iG8pjfPPyyGfbSDxHYY4dqhY0YKhzeKt2SU0/
Wed Sep 28 20:03:25 +0000 2016,Halt! Auf der Flasche steht nicht Bier sondern Bierspezialität. Das ist ein Unterschied! Und dein Vorschlag ekelig.
Wed Sep 28 19:55:57 +0000 2016,Das ist doch Bier!
Wed Sep 28 18:37:17 +0000 2016,Allgäuer - Buble Bier #Edelweissbier #hantverksöl #craftbeer #germancraftbeer #insideskiing @… https://www.instagram.com/p/BK6PAZMDCX1/
Wed Sep 28 18:33:10 +0000 2016,Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Hotel Fire &amp; Ice — http://untp.beer/s/c365368802 #photo
Wed Sep 28 08:47:42 +0000 2016,Great dark Bier. - Drinking a König Ludwig Dunkel @Marktplatz - http://untp.beer/s/c365324742 #photo
Tue Sep 27 15:50:58 +0000 2016,Ich schon. Ein Bier und ein Bordbistro.
Sun Sep 25 16:18:32 +0000 2016,Brezel & Bier #würzburgerhofbräu #brezel #bier #пиво #вюрцбурскоепиво @Marienberg Fortress https://www.instagram.com/p/BKyQvcChXJY/
Sun Sep 25 11:43:21 +0000 2016,Volkfest Canstatter #beer #bier #volkfest #stuttgart #germany #wareontheglobe @Volksfest… https://www.instagram.com/p/BKxxQBXgeht/
Sun Sep 25 11:41:01 +0000 2016,wareontheglobe at Stuttgart Oktoberfest #beer #bier #oktoberfest #germany #stuttgart… https://www.instagram.com/p/BKxw_BrAgsH/
Sun Sep 25 10:38:19 +0000 2016, -Tag-Mittag in der in der #kulperhütte #augsburg #wertach #sonne #schwaben #genießen #bier… https://www.instagram.com/p/BKxpz0zgFuU/
Sat Sep 24 20:17:18 +0000 2016,#oktoberfest #langenthal #prost @JKroeper martinaschildknecht ____________________ #bier… https://www.instagram.com/p/BKwHRYdB5iW/
Sat Sep 24 18:57:20 +0000 2016,Was passiert wenn man Cola und Bier trinkt? Man colabiert.
Sat Sep 24 18:36:54 +0000 2016,Drinking an Oettinger Bier Cola Mixed by Oettinger Brauerei @Zuhause Im Garten — http://untp.beer/s/c363985050
Sat Sep 24 17:30:17 +0000 2016,Den Tag mit einem Bier abschliessen (@Vogelbräu in Karlsruhe) https://www.swarmapp.com/c/hjvGvuWH53G
Sat Sep 24 14:19:08 +0000 2016,"Das wirklich alarmierende ist nicht Kudlas unterirdische Denke, sondern die ""Nicht unser Bier""-Reaktion der @cducsubt. Ekelhaft."
Sat Sep 24 13:23:18 +0000 2016,Ipanema für mich (ich bin heute die Fahrerin ) und Bier für meinen Herzensmann #warsteiner… https://www.instagram.com/p/BKvX5PAhmbD/
Fri Sep 23 23:22:25 +0000 2016,Nach viel Bier in alten WhatsApp Chats schwelgen und sich selbst hassen. So schön… #NotJustSad
Fri Sep 23 21:50:39 +0000 2016,#BRAUSTIL #IPA #FRANKFURT #BIER @BrauStil Frankfurt https://www.instagram.com/p/BKttKVDjVki/
Fri Sep 23 20:21:08 +0000 2016,"#bier (@Lohmann in Kassel, Hessen) https://www.swarmapp.com/c/ivbOzfmZTpq"
Fri Sep 23 20:14:18 +0000 2016,Verdammt lecker... #bier #beer #beerporn #instabeer #beergasm #instadrink #drink #craftbier… https://www.instagram.com/p/BKtiIr_Ag-6/
Thu Sep 22 21:13:11 +0000 2016,"Aktion zur Bayerischen Woche Vom 23.09 Bis 09.102016 #maß #bier #4,80€ #pizzeria #azzurra… https://www.instagram.com/p/BKrEFEnghmb/"
Thu Sep 22 18:07:59 +0000 2016,Wusstet ihr das kaltes Bier immer links steht? (@Spar Express in Bremen) https://www.swarmapp.com/c/iItrJoXvPnC
Thu Sep 22 17:08:14 +0000 2016,"Ein #Bumber #Cola, #Bier, #Weinbrand &amp; #Kirschlikör @Fürth, Germany https://www.instagram.com/p/BKqoC-3AuxI/"
Thu Sep 22 08:20:28 +0000 2016,"Bier (@Terminal C in Dusseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/2BYYBF0nHeg"
Thu Sep 22 05:43:49 +0000 2016,Fühle mich gerade zwische Salzjebäck un Bier. #BAP #kölnerdom #koelnhbf
Wed Sep 21 21:20:04 +0000 2016,"Es wird kalt... und dieses ""Sport nach Bier, das rat' ich dir"" glaub ich noch nicht. Glatte 5… https://www.instagram.com/p/BKogEnNgrUA/"
Wed Sep 21 17:21:01 +0000 2016,"Bier trinken auf der Straße (@Palast der Republik in Stuttgart, Baden-Württemberg) https://www.swarmapp.com/c/e6a88RnAXns"
Wed Sep 21 16:53:15 +0000 2016,"Statt Sitzplatz ein #bistro #bier im #ice729 @Cologne, Germany https://www.instagram.com/p/BKoBiZFgHBD/"
Wed Sep 21 16:38:56 +0000 2016,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allguer Brauhaus @Bumi's Burger Bude — http://untp.beer/s/c362745068 #photo
Wed Sep 21 15:25:42 +0000 2016,18h gibts wieder einen unterhaltsamen Stadtrundgang zum Thema »Bier in #Marburg« mit meinem Kollegen Erich. Treffpunkt: Wasserscheide. #vhs
Tue Sep 20 22:39:02 +0000 2016,"Nächste Woche seh ich @Gin_ifer endlich wieder. Bei Bier aufm Konzert, Liebe. "
Tue Sep 20 11:05:40 +0000 2016,Muss ich mir Sorgen machen? Meine Photos-App in #iOS10 hat ne eigene Kategorie „Bier“ angelegt…
